City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Antofagasta,CL,2021-03-28 16:08:34,-23.65,-70.4,73.0,63,0,10.36
97,Novoukrainskiy,RU,2021-03-28 16:08:34,44.8969,38.0522,48.2,76,20,11.18
98,Walvis Bay,NA,2021-03-28 16:08:34,-22.9575,14.5053,69.8,60,30,10.36
99,Mezen,RU,2021-03-28 16:08:34,65.8522,44.24,34.9,95,100,9.62
100,Kudahuvadhoo,MV,2021-03-28 16:08:34,2.6708,72.8944,81.18,78,98,12.77
101,Ilo,PE,2021-03-28 16:08:35,-17.6394,-71.3375,71.6,77,100,5.99
102,Namie,JP,2021-03-28 16:08:35,37.4833,141.0,57.99,94,100,12.66
103,Khorramshahr,IR,2021-03-28 16:08:19,30.4397,48.1664,69.8,26,0,13.8
104,Changde,CN,2021-03-28 16:08:35,29.0464,111.6783,66.72,80,0,4.23
105,San Patricio,US,2021-03-28 16:08:35,28.017,-97.5169,66.0,72,90,23.02
106,Zaysan,KZ,2021-03-28 16:08:36,47.4667,84.8667,35.58,94,98,4.72
107,Birao,CF,2021-03-28 16:08:36,10.2849,22.7882,96.42,9,2,9.57
108,Katsuura,JP,2021-03-28 16:08:36,35.1333,140.3,62.01,94,100,1.01
109,Thompson,CA,2021-03-28 16:04:24,55.7435,-97.8558,8.6,72,75,2.3
110,Namibe,AO,2021-03-28 16:08:36,-15.1961,12.1522,76.28,69,75,12.37
111,Leningradskiy,RU,2021-03-28 16:08:37,69.3833,178.4167,-18.27,94,20,3.67
112,Jasper,US,2021-03-28 16:08:37,37.2001,-94.3502,51.8,40,1,10.36
113,Jhabua,IN,2021-03-28 16:08:37,22.7667,74.6,89.92,11,5,3.98
114,Datong,CN,2021-03-28 16:08:37,40.0936,113.2914,39.92,21,100,7.36
115,Yellowknife,CA,2021-03-28 16:08:38,62.456,-114.3525,15.01,62,75,12.66
116,Livingstonia,MW,2021-03-28 16:08:38,-10.606,34.1063,66.27,83,94,1.9
117,Guatire,VE,2021-03-28 16:08:38,10.4762,-66.5427,82.4,78,75,3.44
118,Excelsior Springs,US,2021-03-28 16:08:38,39.3392,-94.2261,51.01,53,1,11.5
119,Talnakh,RU,2021-03-28 16:08:39,69.4865,88.3972,-10.01,96,50,2.68
120,Dikson,RU,2021-03-28 16:08:39,73.5069,80.5464,-23.39,100,30,6.78
121,Zabaykalsk,RU,2021-03-28 16:08:39,49.6333,117.3167,27.43,77,35,23.09
122,Kaitangata,NZ,2021-03-28 16:08:39,-46.2817,169.8464,53.51,97,100,2.06
123,Halifax,CA,2021-03-28 16:04:49,44.6453,-63.5724,34.0,80,97,10.36
124,Provideniya,RU,2021-03-28 16:08:40,64.3833,-173.3,2.95,95,100,23.78
125,Nikolskoye,RU,2021-03-28 16:08:40,59.7035,30.7861,45.0,70,0,8.95
126,Kalmunai,LK,2021-03-28 16:08:40,7.4167,81.8167,79.3,77,94,6.55
127,Ambo,PE,2021-03-28 16:08:40,-10.1308,-76.2047,71.8,54,83,5.59
128,Luanda,AO,2021-03-28 16:05:13,-8.8368,13.2343,87.8,58,20,12.66
129,Kandrian,PG,2021-03-28 16:08:41,-6.2167,149.55,77.68,89,100,4.74
130,Bonavista,CA,2021-03-28 16:08:41,48.6499,-53.1147,28.99,59,100,4.61
131,Nome,US,2021-03-28 16:08:41,64.5011,-165.4064,9.0,78,90,23.02
132,Touros,BR,2021-03-28 16:08:41,-5.1989,-35.4608,87.8,66,40,12.66
133,Cape Town,ZA,2021-03-28 16:08:28,-33.9258,18.4232,75.99,46,0,11.5
134,Yar-Sale,RU,2021-03-28 16:06:58,66.8333,70.8333,-8.61,98,11,9.51
135,Evensk,RU,2021-03-28 16:08:42,61.95,159.2333,-10.95,86,49,3.76
136,Carutapera,BR,2021-03-28 16:07:37,-1.195,-46.02,81.5,81,91,7.4
137,Hobart,AU,2021-03-28 16:06:06,-42.8794,147.3294,55.4,50,75,12.66
138,Boddam,GB,2021-03-28 16:08:42,57.4667,-1.7833,50.0,71,90,18.41
139,Kitob,UZ,2021-03-28 16:08:42,39.0843,66.8332,46.4,93,90,18.41
