City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
70,Rio Cuarto,AR,62.6,clear sky,-33.1307,-64.3499,
73,Lompoc,US,66.99,clear sky,34.6391,-120.4579,
74,Shakawe,BW,65.57,few clouds,-18.3667,21.85,
75,Matara,LK,74.14,broken clouds,5.9485,80.5353,
78,Kahului,US,75.2,scattered clouds,20.8947,-156.47,
86,Geraldton,AU,69.8,few clouds,-28.7667,114.6,
88,Hasaki,JP,63.0,broken clouds,35.7333,140.8333,
93,Ancud,CL,62.6,clear sky,-41.8697,-73.8203,
94,Bandarbeyla,SO,76.12,few clouds,9.4942,50.8122,
95,Vao,NC,77.67,few clouds,-22.6667,167.4833,
96,Bambous Virieux,MU,75.99,few clouds,-20.3428,57.7575,
101,Cavalcante,BR,71.31,overcast clouds,-13.7975,-47.4583,
104,Moron,AR,70.0,scattered clouds,-34.6534,-58.6198,
108,Waipawa,NZ,66.2,moderate rain,-41.4122,175.5153,
109,Sao Filipe,CV,69.71,scattered clouds,14.8961,-24.4956,
110,Angleton,US,60.01,light rain,29.1694,-95.4319,
112,Kunnamangalam,IN,78.8,mist,11.3046,75.8777,
113,Takoradi,GH,79.54,few clouds,4.8845,-1.7554,
114,Bengkulu,ID,76.44,overcast clouds,-3.8004,102.2655,
115,Aripuana,BR,73.09,light rain,-9.1667,-60.6333,
118,Oussouye,SN,73.4,clear sky,12.485,-16.5469,
121,Tura,IN,71.53,clear sky,25.5198,90.2201,
125,Riyadh,SA,62.6,clear sky,24.6877,46.7219,
126,Esperance,AU,68.0,clear sky,-33.8667,121.9,
129,Shanghai,CN,68.0,mist,31.2222,121.4581,
133,Ambulu,ID,77.63,overcast clouds,-8.345,113.6058,
134,Cam Ranh,VN,77.0,clear sky,11.9214,109.1591,
136,Xinye,CN,61.39,few clouds,32.5186,112.3522,
137,Hilo,US,73.4,overcast clouds,19.7297,-155.09,
141,Hermiston,US,62.01,haze,45.8404,-119.2895,
143,San Juan,AR,70.39,clear sky,-31.5375,-68.5364,
144,Ballina,AU,75.2,scattered clouds,-28.8667,153.5667,
145,Euclides Da Cunha,BR,73.58,scattered clouds,-10.5075,-39.0158,
150,Souillac,MU,75.2,few clouds,-20.5167,57.5167,
152,Dolores,AR,62.65,overcast clouds,-36.3132,-57.6792,
153,Perbaungan,ID,75.2,light rain,3.5679,98.956,
154,Namibe,AO,73.6,light rain,-15.1961,12.1522,
156,Te Anau,NZ,61.68,broken clouds,-45.4167,167.7167,
159,Whitianga,NZ,67.1,overcast clouds,-36.8333,175.7,
160,Port-Gentil,GA,75.2,moderate rain,-0.7193,8.7815,
166,Kaitangata,NZ,64.99,scattered clouds,-46.2817,169.8464,
168,Tateyama,JP,66.99,few clouds,34.9833,139.8667,
169,Deori Khas,IN,77.83,clear sky,23.4,79.0167,
172,Ekpoma,NG,73.44,clear sky,6.7421,6.138999999999999,
174,Najran,SA,71.6,dust,17.4924,44.1277,
175,Puerto Ayora,EC,79.0,scattered clouds,-0.7393,-90.3518,
176,Cordoba,AR,61.0,clear sky,-31.4135,-64.1811,
177,Los Andes,CL,69.01,clear sky,-32.8337,-70.5983,
178,Bambanglipuro,ID,79.0,broken clouds,-7.95,110.2833,
180,Elizabeth City,US,72.0,scattered clouds,36.2946,-76.2511,
183,Tessalit,ML,71.26,clear sky,20.1986,1.0114,
184,Chuy,UY,63.36,scattered clouds,-33.6971,-53.4616,
189,Pihuamo,MX,78.8,broken clouds,19.2499,-103.3828,
190,Mount Gambier,AU,60.8,overcast clouds,-37.8333,140.7667,
191,Jacareacanga,BR,75.45,heavy intensity rain,-6.2222,-57.7528,
192,Manokwari,ID,79.95,overcast clouds,-0.8667,134.0833,
193,Davila,PH,75.2,few clouds,18.4726,120.5763,
195,Cidreira,BR,73.24,scattered clouds,-30.1811,-50.2056,
198,Tatawin,TN,64.4,scattered clouds,32.9297,10.4518,
199,Salalah,OM,75.2,clear sky,17.0151,54.0924,
204,Nelson Bay,AU,72.0,broken clouds,-32.7167,152.15,
206,Mapiripan,CO,73.51,overcast clouds,2.8892,-72.1256,
208,Ushirombo,TZ,64.24,few clouds,-3.4919,31.9639,
210,Ambilobe,MG,73.94,light rain,-13.2,49.05,
213,Eten,PE,73.4,clear sky,-6.9081,-79.8642,
215,Inhambane,MZ,71.55,light rain,-23.865,35.3833,
218,Saint-Philippe,RE,75.2,few clouds,-21.3585,55.7679,
219,Floriano,BR,77.83,broken clouds,-6.7669,-43.0225,
224,Jahanabad,IN,66.2,haze,25.2167,84.9833,
231,Cabo San Lucas,MX,78.01,scattered clouds,22.8909,-109.9124,
233,Kudahuvadhoo,MV,79.72,heavy intensity rain,2.6708,72.8944,
234,Acari,PE,73.63,few clouds,-15.4311,-74.6158,
241,Bilma,NE,69.55,clear sky,18.6853,12.9164,
242,San Antonio,US,73.4,clear sky,29.4241,-98.4936,
245,Biak,ID,78.03,overcast clouds,-0.9131,122.8766,
247,Soe,ID,69.91,light rain,-9.8607,124.28399999999999,
249,Ulladulla,AU,64.99,few clouds,-35.35,150.4667,
250,Pisco,PE,70.0,clear sky,-13.7,-76.2167,
253,Ishigaki,JP,77.0,broken clouds,24.3448,124.1572,
254,Hambantota,LK,76.41,overcast clouds,6.1241,81.1185,
257,Kayankulam,IN,76.3,broken clouds,9.1833,76.5,
258,Maua,BR,73.99,broken clouds,-23.6678,-46.4614,
264,Anastacio,BR,76.69,broken clouds,-20.4836,-55.8069,
265,Balsas,BR,76.19,broken clouds,-7.5325,-46.0356,
266,Montes Claros,BR,78.8,clear sky,-16.735,-43.8617,
267,Kalmunai,LK,76.42,broken clouds,7.4167,81.8167,
268,Kapiri Mposhi,ZM,62.64,light rain,-13.9652,28.6809,
269,Avera,US,64.4,clear sky,33.194,-82.5271,
272,Saint George,US,75.99,clear sky,37.1041,-113.5841,
273,Sorong,ID,79.03,overcast clouds,-0.8833,131.25,
275,Hobyo,SO,79.43,broken clouds,5.3505,48.5268,
276,Yulara,AU,75.2,clear sky,-25.2406,130.9889,
277,High Rock,BS,78.8,few clouds,26.6208,-78.2833,
281,Rafaela,AR,64.99,overcast clouds,-31.2503,-61.4867,
282,Santa Isabel Do Rio Negro,BR,74.44,broken clouds,-0.4139,-65.0192,
284,Praya,CV,68.0,broken clouds,14.9215,-23.5087,
285,Beira,MZ,74.01,few clouds,-19.8436,34.8389,
286,Tra Vinh,VN,79.7,broken clouds,9.9347,106.3453,
288,Kralendijk,BQ,77.0,few clouds,12.15,-68.2667,
289,Abadiania,BR,71.6,clear sky,-16.2042,-48.7069,
290,Caravelas,BR,77.16,clear sky,-17.7125,-39.2481,
292,Lengshuijiang,CN,70.11,overcast clouds,27.6881,111.4294,
295,Victor Harbor,AU,64.99,few clouds,-35.5667,138.6167,
