City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
274,Chumikan,RU,54.7183,135.315,23.54,92,100,13.58,light snow
275,Hobyo,SO,5.3505,48.5268,79.43,79,61,11.01,broken clouds
276,Yulara,AU,-25.2406,130.9889,75.2,46,0,11.5,clear sky
277,High Rock,BS,26.6208,-78.2833,78.8,73,20,6.91,few clouds
278,Bima,ID,-8.4667,118.7167,80.33,88,100,2.75,light rain
279,Kavaratti,IN,10.5669,72.642,82.98,71,100,1.5,overcast clouds
280,Turayf,SA,31.6725,38.6637,46.4,49,0,5.75,clear sky
281,Rafaela,AR,-31.2503,-61.4867,64.99,68,96,3.0,overcast clouds
282,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,74.44,97,74,1.81,broken clouds
283,Cartagena,CO,10.3997,-75.5144,84.2,70,20,8.05,few clouds
284,Praya,CV,14.9215,-23.5087,68.0,73,75,23.02,broken clouds
285,Beira,MZ,-19.8436,34.8389,74.01,82,23,13.76,few clouds
286,Tra Vinh,VN,9.9347,106.3453,79.7,81,77,6.82,broken clouds
287,Waingapu,ID,-9.6567,120.2641,82.42,81,99,9.48,overcast clouds
288,Kralendijk,BQ,12.15,-68.2667,77.0,88,20,19.57,few clouds
289,Abadiania,BR,-16.2042,-48.7069,71.6,64,0,2.3,clear sky
290,Caravelas,BR,-17.7125,-39.2481,77.16,78,0,6.08,clear sky
291,Sept-Iles,CA,50.2001,-66.3821,28.4,100,90,21.85,snow
292,Lengshuijiang,CN,27.6881,111.4294,70.11,87,93,1.79,overcast clouds
293,Gorodishche,RU,48.8045,44.4744,28.4,93,0,6.71,clear sky
294,Auki,SB,-8.7676,160.7034,86.18,62,26,2.82,scattered clouds
295,Victor Harbor,AU,-35.5667,138.6167,64.99,69,14,5.03,few clouds
296,Ust-Kuyga,RU,70.0167,135.6,8.47,94,100,4.94,overcast clouds
297,Banda Aceh,ID,5.5577,95.3222,79.39,78,92,2.89,overcast clouds
298,Vila Franca Do Campo,PT,37.7167,-25.4333,59.0,82,75,11.5,broken clouds
299,Kortkeros,RU,61.8106,51.5806,33.8,51,0,8.95,clear sky
300,Birao,CF,10.2849,22.7882,78.53,12,1,12.24,clear sky
301,Arang,IN,21.2,81.9667,75.97,17,0,6.02,clear sky
302,Lake Charles,US,30.2131,-93.2044,60.8,62,90,8.05,moderate rain
303,Chara,RU,56.9064,118.2631,14.11,79,72,1.12,broken clouds
304,Ust-Tarka,RU,55.5672,75.705,27.07,98,100,3.36,light snow
305,Kruisfontein,ZA,-34.0033,24.7314,62.01,77,93,4.0,overcast clouds
306,Palmer,US,42.1584,-72.3287,55.0,100,90,3.44,mist
307,Andenes,NO,69.3143,16.1194,33.8,75,97,10.36,overcast clouds
308,Lakes Entrance,AU,-37.8811,147.981,61.0,71,58,3.0,broken clouds
309,Bonavista,CA,48.6499,-53.1147,23.0,80,34,3.44,scattered clouds
310,Kavieng,PG,-2.5744,150.7967,85.68,67,93,13.96,light rain
311,Ketchikan,US,55.3422,-131.6461,42.8,56,40,19.57,scattered clouds
312,Port Blair,IN,11.6667,92.75,80.06,76,56,2.77,broken clouds
313,Nouakchott,MR,18.0858,-15.9785,69.8,73,0,17.27,clear sky
314,Lavrentiya,RU,65.5833,-171.0,13.17,92,100,19.53,light snow
315,Laguna,US,38.421,-121.4238,81.0,22,1,3.36,clear sky
316,Iquitos,PE,-3.7481,-73.2472,77.0,88,75,3.44,light rain
317,Noumea,NC,-22.2763,166.4572,86.0,58,20,4.61,few clouds
318,Baoro,CF,5.6667,15.9667,74.48,66,58,3.33,broken clouds
319,Constantine,DZ,36.365,6.6147,53.6,76,0,2.3,clear sky
320,Kirakira,SB,-10.4544,161.9205,86.63,65,61,5.53,moderate rain
321,Daru,PG,-9.0763,143.2092,81.12,87,100,9.55,overcast clouds
322,Anadyr,RU,64.75,177.4833,12.2,85,40,29.08,snow
323,Derzhavinsk,KZ,51.1,66.3167,13.32,95,12,9.53,few clouds
324,Jerantut,MY,3.936,102.3626,74.25,96,28,1.59,scattered clouds
325,Gopalur,IN,16.6167,77.8,78.55,39,10,4.9,clear sky
326,Tondano,ID,1.3038,124.9112,78.8,94,40,2.3,scattered clouds
327,Ciochina,RO,44.5833,27.0667,46.0,44,99,3.0,overcast clouds
328,Bereda,ES,43.2686,-7.5406,52.0,76,0,3.44,clear sky
329,Port Lincoln,AU,-34.7333,135.8667,66.16,71,3,9.86,clear sky
330,Teguise,ES,29.0605,-13.564,64.4,77,20,3.44,few clouds
331,Chitral,PK,35.8462,71.7858,50.67,90,98,4.54,overcast clouds
332,Laredo,US,27.5064,-99.5075,59.0,72,90,5.75,overcast clouds
333,Villa Bruzual,VE,9.3328,-69.1208,84.11,51,86,3.44,overcast clouds
334,Chicama,PE,-7.8447,-79.1469,73.99,71,75,6.44,broken clouds
335,Manzhouli,CN,49.6,117.4333,29.91,53,3,17.78,clear sky
336,Badiraguato,MX,25.3667,-107.5167,87.8,27,90,9.22,overcast clouds
337,Hualmay,PE,-11.0964,-77.6139,69.85,84,80,8.48,broken clouds
338,West Wendover,US,40.7391,-114.0733,69.8,19,1,17.27,clear sky
339,Bayir,TR,37.2687,28.2167,41.0,87,0,4.61,clear sky
340,Gunjur,GM,13.2019,-16.7339,69.8,78,0,14.97,clear sky
341,Saint Anthony,US,45.0205,-93.218,45.0,39,1,12.66,clear sky
342,Fethiye,TR,36.6217,29.1164,46.4,87,0,5.75,clear sky
343,Santa Rosa,PH,14.3122,121.1114,82.99,74,20,5.75,few clouds
344,Strzelce Krajenskie,PL,52.8773,15.5298,48.99,71,100,1.01,overcast clouds
345,Sharan,RU,54.8167,54.0,11.26,96,17,2.89,few clouds
346,Kaeo,NZ,-35.1,173.7833,72.0,95,76,8.01,broken clouds
347,Binghamton,US,42.0987,-75.918,48.0,87,75,10.36,broken clouds
348,Batagay-Alyta,RU,67.8006,130.4114,3.07,79,90,2.91,overcast clouds
349,Amalapuram,IN,16.5833,82.0167,74.5,91,11,0.6,few clouds
